num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2894,19102.15039,160.39,04N2K1,2016/1/3 15:38,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2895,20627.91602,118.663,04B6K2,2016/1/8 16:57,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2896,20628.60645,66.62,04B6K2,2016/1/7 20:13,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2897,20628.43164,149.285,04B6K2,2016/1/9 15:46,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2898,12199.17432,20.147,04N2K1,2016/1/7 0:54,BPSK,18.153,9000,N,N,unknow,NSC,NA,V35,unknow
2899,20729.42285,308.963,04B6K2,2016/1/9 17:12,QPSK,341.331,512000,Y,N,unknow,NSC,NA,V35,unknow
2900,20732.97559,3107.617,04B6K2,2016/1/9 19:19,BPSK,1637.925,819000,N,N,unknow,NSC,NA,V35,unknow
2901,12076.7793,438.333,04N2K1,2016/1/17 4:06,8PSK,523.375,0,N,N,unknow,unknow,NA,unknow,unknow
2902,20611.76465,374.694,04B6K2,2016/1/9 13:18,QPSK,415.884,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2903,11672.24048,986.632,04B6K2,2016/1/10 20:33,QPSK,1072.761,1072000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2904,11575.77051,1134.847,04N2K1,2016/1/10 21:03,8PSK,1365.313,0,N,N,unknow,TPC,2964,unknow,unknow
2905,11578.23071,522.502,04N2K1,2016/1/28 9:08,QPSK,585.147,1024000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2906,11576.6333,3436.949,04B6K2,2016/1/10 23:49,8PSK,3700.011,0,N,N,unknow,unknow,NA,unknow,unknow
2907,19559.30371,81.69,04B6K2,2016/1/9 20:36,QPSK,85.714,128000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2908,11799.08301,820.123,04N2K1,2016/1/7 10:42,QPSK,910.227,1280000,N,N,unknow,TPC,NA,IBS,unknow
2909,20628.74316,103.075,04N2K1,2016/1/5 5:34,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2910,20571.00586,164.041,04B6K2,2016/1/1 10:23,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2911,20552.79883,253.013,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2912,11664.05347,2692.247,04N2K1,2016/2/1 8:54,8PSK,2965.355,0,N,N,unknow,TPC,16320,unknow,unknow
2913,20544.67654,90.281,04B6K2,2016/1/9 20:36,unknow,0,0,unknow,unknow,Y,unknow,NA,unknow,unknow
2914,20538.45117,261.707,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2915,11803.96729,346.869,04N2K1,2016/1/7 11:01,QPSK,364.085,512000,N,N,unknow,TPC,NA,IBS,unknow
2916,20567.81055,256.697,04B6K2,2016/1/6 8:22,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2917,11601.62891,5419.737,04N2K1,2016/1/31 10:07,QPSK,6436.479,6336000,N,N,unknow,TPC,NA,V35,unknow
2918,11887.49707,140.566,04N2K1,2016/1/18 12:29,8PSK,145.065,0,N,N,unknow,unknow,NA,unknow,unknow
2919,20628.58789,219.339,04B6K2,2016/1/9 9:32,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2920,12114.73682,176.303,04N2K1,2016/1/31 23:46,8PSK,182.042,0,N,N,unknow,unknow,NA,unknow,unknow
2921,12199.43604,20.442,04N2K1,2016/1/2 14:15,8PSK,8.192,0,N,N,unknow,unknow,NA,unknow,unknow
2922,12094.17578,267.027,04N2K1,2016/1/4 2:49,BPSK,290.761,0,N,N,unknow,unknow,NA,unknow,unknow
2923,20628.24316,87.434,04B6K2,2016/1/6 11:15,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2924,20631.79441,92.727,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2925,20629.00391,96.319,04B6K2,2016/1/9 16:30,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2926,12028.81909,89.842,04N2K1,2016/1/5 12:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2927,20628.80664,84.065,04B6K2,2016/1/9 20:36,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2928,20628.44336,131.812,04B6K2,2016/1/9 16:34,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
